Comprimento	Intensity
178.13	1298.41
178.35	1298.41
178.57	1298.41
178.78	1300.46
179.00	1320.94
179.22	1456.11
179.44	1521.64
179.66	1456.11
179.87	1538.02
180.09	1546.22
180.31	1630.18
180.53	1538.02
180.75	1433.58
180.96	1439.72
181.18	1402.86
181.40	1447.91
181.62	1488.87
181.84	1472.49
182.05	1431.53
182.27	1480.68
182.49	1472.49
182.71	1427.43
182.92	1605.61
183.14	1435.63
183.36	1546.22
183.58	1439.72
183.80	1630.18
184.01	1452.01
184.23	1505.26
184.45	1570.79
184.67	1529.83
184.89	1488.87
185.10	1538.02
185.32	1525.74
185.54	1513.45
185.76	1538.02
185.97	1513.45
186.19	1521.64
186.41	1554.41
186.63	1505.26
186.84	1431.53
187.06	1529.83
187.28	1660.90
187.50	1478.63
187.72	1564.65
187.93	1581.03
188.15	1464.30
188.37	1474.54
188.59	1476.59
188.80	1542.12
189.02	1513.45
189.24	1531.88
189.46	1523.69
189.67	1562.60
189.89	1480.68
190.11	1507.30
190.33	1619.94
190.54	1607.66
190.76	1521.64
190.98	1456.11
191.20	1472.49
191.41	1484.78
191.63	1538.02
191.85	1460.20
192.07	1515.50
192.28	1511.40
192.50	1538.02
192.72	1521.64
192.94	1574.89
193.15	1488.87
193.37	1597.42
193.59	1632.23
193.81	1558.50
194.02	1499.11
194.24	1472.49
194.46	1497.07
194.67	1521.64
194.89	1376.24
195.11	1558.50
195.33	1556.46
195.54	1603.56
195.76	1482.73
195.98	1472.49
196.20	1513.45
196.41	1460.20
196.63	1521.64
196.85	1564.65
197.06	1427.43
197.28	1505.26
197.50	1378.28
197.72	1452.01
197.93	1456.11
198.15	1538.02
198.37	1464.30
198.58	1513.45
198.80	1548.26
199.02	1529.83
199.24	1523.69
199.45	1515.50
199.67	1454.06
199.89	1515.50
200.10	1419.24
200.32	1458.15
200.54	1390.57
200.76	1449.96
200.97	1521.64
201.19	1460.20
201.41	1472.49
201.62	1505.26
201.84	1472.49
202.06	1497.07
202.28	1521.64
202.49	1558.50
202.71	1544.17
202.93	1556.46
203.14	1449.96
203.36	1507.30
203.58	1398.76
203.79	1474.54
204.01	1505.26
204.23	1505.26
204.44	1585.13
204.66	1499.11
204.88	1558.50
205.10	1452.01
205.31	1499.11
205.53	1427.43
205.75	1568.74
205.96	1499.11
206.18	1482.73
206.40	1439.72
206.61	1386.47
206.83	1456.11
207.05	1417.19
207.26	1513.45
207.48	1480.68
207.70	1529.83
207.91	1497.07
208.13	1392.62
208.35	1456.11
208.56	1447.91
208.78	1497.07
209.00	1538.02
209.21	1533.93
209.43	1513.45
209.65	1525.74
209.86	1517.54
210.08	1583.08
210.30	1513.45
210.51	1581.03
210.73	1441.77
210.95	1480.68
211.16	1443.82
211.38	1497.07
211.60	1525.74
211.81	1531.88
212.03	1546.22
212.25	1529.83
212.46	1480.68
212.68	1619.94
212.90	1538.02
213.11	1556.46
213.33	1513.45
213.55	1554.41
213.76	1523.69
213.98	1497.07
214.20	1464.30
214.41	1497.07
214.63	1572.84
214.84	1538.02
215.06	1529.83
215.28	1574.89
215.49	1531.88
215.71	1542.12
215.93	1669.09
216.14	1400.81
216.36	1546.22
216.58	1513.45
216.79	1538.02
217.01	1546.22
217.22	1492.97
217.44	1632.23
217.66	1529.83
217.87	1583.08
218.09	1390.57
218.31	1439.72
218.52	1546.22
218.74	1423.34
218.95	1505.26
219.17	1425.39
219.39	1497.07
219.60	1570.79
219.82	1505.26
220.04	1476.59
220.25	1497.07
220.47	1464.30
220.68	1581.03
220.90	1583.08
221.12	1513.45
221.33	1447.91
221.55	1538.02
221.77	1554.41
221.98	1523.69
222.20	1458.15
222.41	1546.22
222.63	1523.69
222.85	1490.92
223.06	1513.45
223.28	1497.07
223.49	1542.12
223.71	1529.83
223.93	1548.26
224.14	1497.07
224.36	1611.75
224.57	1460.20
224.79	1529.83
225.01	1482.73
225.22	1476.59
225.44	1417.19
225.65	1578.98
225.87	1554.41
226.09	1529.83
226.30	1572.84
226.52	1519.59
226.73	1456.11
226.95	1638.38
227.17	1488.87
227.38	1470.44
227.60	1540.07
227.81	1431.53
228.03	1513.45
228.24	1554.41
228.46	1542.12
228.68	1402.86
228.89	1556.46
229.11	1462.25
229.32	1554.41
229.54	1431.53
229.75	1540.07
229.97	1521.64
230.19	1538.02
230.40	1456.11
230.62	1484.78
230.83	1583.08
231.05	1562.60
231.26	1464.30
231.48	1538.02
231.70	1517.54
231.91	1439.72
232.13	1538.02
232.34	1525.74
232.56	1466.35
232.77	1538.02
232.99	1488.87
233.21	1753.06
233.42	1456.11
233.64	1525.74
233.85	1390.57
234.07	1447.91
234.28	1550.31
234.50	1490.92
234.71	1458.15
234.93	1603.56
235.15	1456.11
235.36	1497.07
235.58	1597.42
235.79	1425.39
236.01	1538.02
236.22	1499.11
236.44	1609.70
236.65	1521.64
236.87	1597.42
237.08	1466.35
237.30	1550.31
237.52	1531.88
237.73	1398.76
237.95	1490.92
238.16	1447.91
238.38	1566.70
238.59	1505.26
238.81	1556.46
239.02	1505.26
239.24	1591.27
239.45	1497.07
239.67	1480.68
239.88	1546.22
240.10	1587.18
240.31	1490.92
240.53	1447.91
240.74	1464.30
240.96	1488.87
241.18	1472.49
241.39	1464.30
241.61	1554.41
241.82	1447.91
242.04	1472.49
242.25	1507.30
242.47	1423.34
242.68	1505.26
242.90	1509.35
243.11	1417.19
243.33	1490.92
243.54	1630.18
243.76	1452.01
243.97	1562.60
244.19	1521.64
244.40	1497.07
244.62	1497.07
244.83	1488.87
245.05	1507.30
245.26	1419.24
245.48	1492.97
245.69	1562.60
245.91	1472.49
246.12	1423.34
246.34	1546.22
246.55	1570.79
246.77	1390.57
246.98	1488.87
247.20	1497.07
247.41	1464.30
247.63	1546.22
247.84	1488.87
248.06	1605.61
248.27	1456.11
248.49	1509.35
248.70	1546.22
248.92	1382.38
249.13	1464.30
249.35	1359.85
249.56	1531.88
249.78	1417.19
249.99	1458.15
250.21	1570.79
250.42	1439.72
250.64	1464.30
250.85	1529.83
251.06	1619.94
251.28	1513.45
251.49	1460.20
251.71	1529.83
251.92	1464.30
252.14	1488.87
252.35	1464.30
252.57	1492.97
252.78	1578.98
253.00	1415.15
253.21	1515.50
253.43	1490.92
253.64	1572.84
253.86	1484.78
254.07	1468.39
254.28	1423.34
254.50	1521.64
254.71	1441.77
254.93	1441.77
255.14	1488.87
255.36	1521.64
255.57	1497.07
255.79	1466.35
256.00	1517.54
256.22	1513.45
256.43	1546.22
256.64	1636.33
256.86	1607.66
257.07	1480.68
257.29	1458.15
257.50	1411.05
257.72	1550.31
257.93	1521.64
258.15	1570.79
258.36	1396.71
258.57	1490.92
258.79	1533.93
259.00	1480.68
259.22	1480.68
259.43	1415.15
259.65	1550.31
259.86	1472.49
260.08	1398.76
260.29	1671.14
260.50	1468.39
260.72	1857.51
260.93	1449.96
261.15	1507.30
261.36	1472.49
261.58	1464.30
261.79	1482.73
262.00	1558.50
262.22	1636.33
262.43	1562.60
262.65	1490.92
262.86	1546.22
263.07	1546.22
263.29	1562.60
263.50	1497.07
263.72	1542.12
263.93	1517.54
264.15	1480.68
264.36	1417.19
264.57	1433.58
264.79	1619.94
265.00	1443.82
265.22	1464.30
265.43	1546.22
265.64	1472.49
265.86	1390.57
266.07	1476.59
266.29	1460.20
266.50	1419.24
266.71	1597.42
266.93	1474.54
267.14	1517.54
267.36	1538.02
267.57	1472.49
267.78	1480.68
268.00	1566.70
268.21	1570.79
268.43	1513.45
268.64	1474.54
268.85	1456.11
269.07	1497.07
269.28	1550.31
269.50	1431.53
269.71	1449.96
269.92	1482.73
