Comprimento	Intensity
178.13	1267.69
178.35	1267.69
178.57	1267.69
178.78	1294.32
179.00	1275.88
179.22	1509.35
179.44	1480.68
179.66	1488.87
179.87	1535.98
180.09	1550.31
180.31	1566.70
180.53	1509.35
180.75	1460.20
180.96	1433.58
181.18	1507.30
181.40	1433.58
181.62	1427.43
181.84	1546.22
182.05	1488.87
182.27	1460.20
182.49	1464.30
182.71	1431.53
182.92	1597.42
183.14	1523.69
183.36	1581.03
183.58	1492.97
183.80	1554.41
184.01	1482.73
184.23	1548.26
184.45	1564.65
184.67	1546.22
184.89	1509.35
185.10	1540.07
185.32	1570.79
185.54	1515.50
185.76	1538.02
185.97	1490.92
186.19	1513.45
186.41	1490.92
186.63	1521.64
186.84	1488.87
187.06	1583.08
187.28	1677.29
187.50	1398.76
187.72	1581.03
187.93	1466.35
188.15	1521.64
188.37	1505.26
188.59	1572.84
188.80	1652.71
189.02	1595.37
189.24	1466.35
189.46	1525.74
189.67	1548.26
189.89	1488.87
190.11	1468.39
190.33	1521.64
190.54	1525.74
190.76	1521.64
190.98	1447.91
191.20	1521.64
191.41	1529.83
191.63	1628.14
191.85	1472.49
192.07	1558.50
192.28	1505.26
192.50	1538.02
192.72	1521.64
192.94	1603.56
193.15	1542.12
193.37	1538.02
193.59	1669.09
193.81	1556.46
194.02	1456.11
194.24	1538.02
194.46	1497.07
194.67	1558.50
194.89	1531.88
195.11	1570.79
195.33	1562.60
195.54	1605.61
195.76	1517.54
195.98	1529.83
196.20	1499.11
196.41	1546.22
196.63	1574.89
196.85	1546.22
197.06	1484.78
197.28	1505.26
197.50	1482.73
197.72	1529.83
197.93	1472.49
198.15	1546.22
198.37	1548.26
198.58	1497.07
198.80	1501.16
199.02	1531.88
199.24	1480.68
199.45	1513.45
199.67	1445.87
199.89	1490.92
200.10	1468.39
200.32	1542.12
200.54	1546.22
200.76	1472.49
200.97	1587.18
201.19	1435.63
201.41	1513.45
201.62	1472.49
201.84	1562.60
202.06	1587.18
202.28	1517.54
202.49	1570.79
202.71	1570.79
202.93	1513.45
203.14	1490.92
203.36	1546.22
203.58	1474.54
203.79	1472.49
204.01	1542.12
204.23	1529.83
204.44	1607.66
204.66	1591.27
204.88	1497.07
205.10	1529.83
205.31	1423.34
205.53	1521.64
205.75	1531.88
205.96	1503.21
206.18	1538.02
206.40	1476.59
206.61	1431.53
206.83	1488.87
207.05	1470.44
207.26	1431.53
207.48	1523.69
207.70	1554.41
207.91	1529.83
208.13	1488.87
208.35	1441.77
208.56	1513.45
208.78	1521.64
209.00	1529.83
209.21	1554.41
209.43	1529.83
209.65	1556.46
209.86	1523.69
210.08	1540.07
210.30	1595.37
210.51	1517.54
210.73	1548.26
210.95	1452.01
211.16	1548.26
211.38	1531.88
211.60	1443.82
211.81	1546.22
212.03	1538.02
212.25	1525.74
212.46	1578.98
212.68	1597.42
212.90	1488.87
213.11	1513.45
213.33	1562.60
213.55	1476.59
213.76	1628.14
213.98	1474.54
214.20	1538.02
214.41	1507.30
214.63	1554.41
214.84	1607.66
215.06	1572.84
215.28	1499.11
215.49	1570.79
215.71	1628.14
215.93	1628.14
216.14	1497.07
216.36	1583.08
216.58	1495.02
216.79	1454.06
217.01	1505.26
217.22	1441.77
217.44	1744.87
217.66	1589.22
217.87	1558.50
218.09	1458.15
218.31	1415.15
218.52	1476.59
218.74	1554.41
218.95	1578.98
219.17	1398.76
219.39	1515.50
219.60	1589.22
219.82	1558.50
220.04	1585.13
220.25	1474.54
220.47	1587.18
220.68	1581.03
220.90	1490.92
221.12	1562.60
221.33	1431.53
221.55	1517.54
221.77	1480.68
221.98	1497.07
222.20	1619.94
222.41	1490.92
222.63	1525.74
222.85	1470.44
223.06	1554.41
223.28	1566.70
223.49	1458.15
223.71	1499.11
223.93	1554.41
224.14	1509.35
224.36	1595.37
224.57	1509.35
224.79	1513.45
225.01	1562.60
225.22	1515.50
225.44	1486.83
225.65	1521.64
225.87	1572.84
226.09	1488.87
226.30	1529.83
226.52	1449.96
226.73	1423.34
226.95	1576.94
227.17	1538.02
227.38	1458.15
227.60	1591.27
227.81	1540.07
228.03	1472.49
228.24	1533.93
228.46	1581.03
228.68	1464.30
228.89	1529.83
229.11	1439.72
229.32	1484.78
229.54	1423.34
229.75	1570.79
229.97	1564.65
230.19	1556.46
230.40	1480.68
230.62	1488.87
230.83	1540.07
231.05	1531.88
231.26	1542.12
231.48	1505.26
231.70	1603.56
231.91	1456.11
232.13	1562.60
232.34	1566.70
232.56	1482.73
232.77	1587.18
232.99	1456.11
233.21	1720.29
233.42	1464.30
233.64	1603.56
233.85	1521.64
234.07	1554.41
234.28	1525.74
234.50	1464.30
234.71	1548.26
234.93	1632.23
235.15	1492.97
235.36	1556.46
235.58	1497.07
235.79	1431.53
236.01	1488.87
236.22	1558.50
236.44	1574.89
236.65	1488.87
236.87	1554.41
237.08	1513.45
237.30	1488.87
237.52	1488.87
237.73	1523.69
237.95	1464.30
238.16	1460.20
238.38	1597.42
238.59	1497.07
238.81	1554.41
239.02	1497.07
239.24	1482.73
239.45	1529.83
239.67	1585.13
239.88	1456.11
240.10	1603.56
240.31	1394.67
240.53	1501.16
240.74	1566.70
240.96	1597.42
241.18	1570.79
241.39	1488.87
241.61	1546.22
241.82	1468.39
242.04	1533.93
242.25	1636.33
242.47	1529.83
242.68	1546.22
242.90	1578.98
243.11	1521.64
243.33	1505.26
243.54	1695.72
243.76	1415.15
243.97	1619.94
244.19	1466.35
244.40	1501.16
244.62	1474.54
244.83	1476.59
245.05	1439.72
245.26	1374.19
245.48	1531.88
245.69	1570.79
245.91	1513.45
246.12	1472.49
246.34	1546.22
246.55	1458.15
246.77	1456.11
246.98	1540.07
247.20	1466.35
247.41	1548.26
247.63	1529.83
247.84	1550.31
248.06	1640.42
248.27	1441.77
248.49	1501.16
248.70	1447.91
248.92	1482.73
249.13	1439.72
249.35	1505.26
249.56	1488.87
249.78	1402.86
249.99	1540.07
250.21	1587.18
250.42	1472.49
250.64	1513.45
250.85	1562.60
251.06	1630.18
251.28	1464.30
251.49	1513.45
251.71	1490.92
251.92	1476.59
252.14	1603.56
252.35	1499.11
252.57	1572.84
252.78	1546.22
253.00	1513.45
253.21	1427.43
253.43	1480.68
253.64	1589.22
253.86	1482.73
254.07	1423.34
254.28	1439.72
254.50	1564.65
254.71	1558.50
254.93	1480.68
255.14	1505.26
255.36	1566.70
255.57	1542.12
255.79	1476.59
256.00	1505.26
256.22	1513.45
256.43	1554.41
256.64	1554.41
256.86	1556.46
257.07	1460.20
257.29	1531.88
257.50	1476.59
257.72	1474.54
257.93	1521.64
258.15	1607.66
258.36	1490.92
258.57	1529.83
258.79	1566.70
259.00	1587.18
259.22	1497.07
259.43	1497.07
259.65	1542.12
259.86	1513.45
260.08	1472.49
260.29	1726.44
260.50	1466.35
260.72	1964.00
260.93	1439.72
261.15	1464.30
261.36	1464.30
261.58	1548.26
261.79	1509.35
262.00	1538.02
262.22	1665.00
262.43	1513.45
262.65	1466.35
262.86	1564.65
263.07	1595.37
263.29	1605.61
263.50	1521.64
263.72	1546.22
263.93	1542.12
264.15	1538.02
264.36	1406.95
264.57	1490.92
264.79	1554.41
265.00	1615.85
265.22	1499.11
265.43	1515.50
265.64	1497.07
265.86	1497.07
266.07	1499.11
266.29	1521.64
266.50	1452.01
266.71	1554.41
266.93	1521.64
267.14	1540.07
267.36	1562.60
267.57	1548.26
267.78	1497.07
268.00	1538.02
268.21	1595.37
268.43	1538.02
268.64	1513.45
268.85	1441.77
269.07	1488.87
269.28	1570.79
269.50	1441.77
269.71	1587.18
269.92	1447.91
270.14	1492.97
270.35	1390.57
270.56	1558.50
270.78	1546.22
270.99	1538.02
271.21	1476.59
271.42	1581.03
271.63	1581.03
271.85	1538.02
272.06	1456.11
272.27	1505.26
272.49	1591.27
272.70	1556.46
272.92	1595.37
273.13	1546.22
273.34	1599.46
273.56	1488.87
273.77	1538.02
273.98	1464.30
274.20	1529.83
274.41	1521.64
274.63	1490.92
274.84	1484.78
275.05	1505.26
275.27	1507.30
275.48	1540.07
275.69	1488.87
275.91	1464.30
276.12	1505.26
276.33	1458.15
276.55	1564.65
276.76	1554.41
276.97	1652.71
277.19	1474.54
277.40	1484.78
277.61	1546.22
277.83	1505.26
278.04	1525.74
278.26	1492.97
278.47	1544.17
278.68	1675.24
278.90	1529.83
279.11	1507.30
279.32	1513.45
279.54	1581.03
279.75	1521.64
279.96	1548.26
280.18	1611.75
280.39	1611.75
280.60	1480.68
280.82	1621.99
281.03	1529.83
281.24	1587.18
281.46	1595.37
281.67	1578.98
281.88	1505.26
282.10	1562.60
282.31	1505.26
282.52	1531.88
282.74	1406.95
282.95	1591.27
283.16	1505.26
283.37	1497.07
283.59	1484.78
283.80	1523.69
284.01	1675.24
284.23	1507.30
284.44	1515.50
284.65	1621.99
284.87	1507.30
285.08	1581.03
285.29	1525.74
285.51	1538.02
285.72	1564.65
285.93	1591.27
286.15	1589.22
286.36	1431.53
286.57	1531.88
286.78	1523.69
287.00	1507.30
287.21	1538.02
287.42	1515.50
287.64	1515.50
287.85	1587.18
288.06	1564.65
288.28	1488.87
288.49	1464.30
288.70	1472.49
288.91	1480.68
289.13	1710.05
289.34	1554.41
289.55	1460.20
289.77	1507.30
289.98	1587.18
290.19	1556.46
290.40	1431.53
290.62	1466.35
290.83	1464.30
291.04	1511.40
291.26	1480.68
291.47	1529.83
291.68	1480.68
291.89	1447.91
292.11	1673.19
292.32	1472.49
292.53	1689.57
292.74	1558.50
292.96	1431.53
293.17	1505.26
293.38	1554.41
293.60	1578.98
293.81	1521.64
294.02	1447.91
294.23	1558.50
294.45	1587.18
294.66	1517.54
294.87	1660.90
295.08	1480.68
295.30	1660.90
295.51	1505.26
295.72	1656.81
295.93	1523.69
296.15	1611.75
296.36	1632.23
296.57	1619.94
296.78	1578.98
297.00	1474.54
297.21	1515.50
297.42	1548.26
297.63	1507.30
297.85	1578.98
298.06	1517.54
298.27	1558.50
298.48	1490.92
298.70	1515.50
298.91	1710.05
