Comprimento	Intensity
178.13	1261.55
178.35	1261.55
178.57	1261.55
178.78	1284.08
179.00	1275.88
179.22	1478.63
179.44	1443.82
179.66	1482.73
179.87	1517.54
180.09	1456.11
180.31	1546.22
180.53	1431.53
180.75	1484.78
180.96	1490.92
181.18	1394.67
181.40	1476.59
181.62	1409.00
181.84	1484.78
182.05	1490.92
182.27	1423.34
182.49	1431.53
182.71	1351.66
182.92	1533.93
183.14	1513.45
183.36	1482.73
183.58	1452.01
183.80	1574.89
184.01	1488.87
184.23	1507.30
184.45	1546.22
184.67	1425.39
184.89	1417.19
185.10	1538.02
185.32	1513.45
185.54	1501.16
185.76	1472.49
185.97	1472.49
186.19	1521.64
186.41	1449.96
186.63	1464.30
186.84	1406.95
187.06	1431.53
187.28	1619.94
187.50	1406.95
187.72	1548.26
187.93	1492.97
188.15	1445.87
188.37	1419.24
188.59	1441.77
188.80	1538.02
189.02	1423.34
189.24	1456.11
189.46	1482.73
189.67	1562.60
189.89	1484.78
190.11	1441.77
190.33	1521.64
190.54	1538.02
190.76	1472.49
190.98	1447.91
191.20	1482.73
191.41	1484.78
191.63	1456.11
191.85	1458.15
192.07	1433.58
192.28	1486.83
192.50	1480.68
192.72	1406.95
192.94	1621.99
193.15	1390.57
193.37	1591.27
193.59	1595.37
193.81	1603.56
194.02	1464.30
194.24	1497.07
194.46	1452.01
194.67	1456.11
194.89	1456.11
195.11	1570.79
195.33	1538.02
195.54	1548.26
195.76	1497.07
195.98	1409.00
196.20	1417.19
196.41	1449.96
196.63	1576.94
196.85	1492.97
197.06	1374.19
197.28	1540.07
197.50	1337.32
197.72	1417.19
197.93	1466.35
198.15	1568.74
198.37	1413.10
198.58	1456.11
198.80	1505.26
199.02	1572.84
199.24	1456.11
199.45	1505.26
199.67	1392.62
199.89	1427.43
200.10	1423.34
200.32	1390.57
200.54	1327.08
200.76	1513.45
200.97	1456.11
201.19	1400.81
201.41	1488.87
201.62	1439.72
201.84	1501.16
202.06	1480.68
202.28	1435.63
202.49	1533.93
202.71	1591.27
202.93	1499.11
203.14	1464.30
203.36	1484.78
203.58	1441.77
203.79	1431.53
204.01	1525.74
204.23	1456.11
204.44	1447.91
204.66	1497.07
204.88	1564.65
205.10	1423.34
205.31	1484.78
